"module name","licenses","repository","licenseUrl","parents"
"@angular/animations@4.0.1","MIT","https://github.com/angular/angular","https://github.com/angular/angular","zoonavigator-web"
"@angular/cli@1.0.0","MIT","https://github.com/angular/angular-cli","https://github.com/angular/angular-cli/raw/master/LICENSE","zoonavigator-web"
"@angular/common@4.0.1","MIT","https://github.com/angular/angular","https://github.com/angular/angular","zoonavigator-web"
"@angular/compiler-cli@4.0.1","MIT","https://github.com/angular/angular","https://github.com/angular/angular","zoonavigator-web"
"@angular/compiler@4.0.1","MIT","https://github.com/angular/angular","https://github.com/angular/angular","zoonavigator-web"
"@angular/core@4.0.1","MIT","https://github.com/angular/angular","https://github.com/angular/angular","zoonavigator-web"
"@angular/flex-layout@2.0.0-rc.1","MIT","https://github.com/angular/flex-layout","https://github.com/angular/flex-layout/raw/master/LICENSE","zoonavigator-web"
"@angular/forms@4.0.1","MIT","https://github.com/angular/angular","https://github.com/angular/angular","zoonavigator-web"
"@angular/http@4.0.1","MIT","https://github.com/angular/angular","https://github.com/angular/angular","zoonavigator-web"
"@angular/material@2.0.0-beta.2","MIT","https://github.com/angular/material2","https://github.com/angular/material2/raw/master/LICENSE","zoonavigator-web"
"@angular/platform-browser-dynamic@4.0.1","MIT","https://github.com/angular/angular","https://github.com/angular/angular","zoonavigator-web"
"@angular/platform-browser@4.0.1","MIT","https://github.com/angular/angular","https://github.com/angular/angular","zoonavigator-web"
"@angular/router@4.0.1","MIT","https://github.com/angular/angular","https://github.com/angular/angular","zoonavigator-web"
"@angular/tsc-wrapped@4.0.1","MIT","https://github.com/angular/angular","https://github.com/angular/angular","zoonavigator-web"
"@covalent/core@1.0.0-beta.2-1","MIT","https://github.com/teradata/covalent","https://github.com/teradata/covalent","zoonavigator-web"
"@ngtools/json-schema@1.0.5","MIT","https://github.com/angular/angular-cli","https://github.com/angular/angular-cli/raw/master/LICENSE","zoonavigator-web"
"@ngtools/webpack@1.3.0","MIT","https://github.com/angular/angular-cli","https://github.com/angular/angular-cli/raw/master/LICENSE","zoonavigator-web"
"@types/jasmine@2.5.38","MIT","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","zoonavigator-web"
"@types/node@6.0.68","MIT","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","zoonavigator-web"
"@types/q@0.0.32","MIT","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","zoonavigator-web"
"@types/selenium-webdriver@2.53.42","MIT","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","zoonavigator-web"
"abbrev@1.1.0","ISC","https://github.com/isaacs/abbrev-js","https://github.com/isaacs/abbrev-js/raw/master/LICENSE","zoonavigator-web"
"accepts@1.3.3","MIT","https://github.com/jshttp/accepts","https://github.com/jshttp/accepts/raw/master/LICENSE","zoonavigator-web"
"ace-builds@1.2.6","BSD","https://github.com/ajaxorg/ace-builds","https://github.com/ajaxorg/ace-builds/raw/master/LICENSE","zoonavigator-web"
"acorn-dynamic-import@2.0.2","MIT","https://github.com/kesne/acorn-dynamic-import","https://github.com/kesne/acorn-dynamic-import/raw/master/LICENSE","zoonavigator-web"
"acorn@4.0.11","MIT","https://github.com/ternjs/acorn","https://github.com/ternjs/acorn/raw/master/LICENSE","zoonavigator-web"
"adm-zip@0.4.4","MIT","https://github.com/cthackers/adm-zip","https://raw.github.com/cthackers/adm-zip/master/MIT-LICENSE.txt","webdriver-js-extender:zoonavigator-web"
"adm-zip@0.4.7","MIT","https://github.com/cthackers/adm-zip","https://raw.github.com/cthackers/adm-zip/master/MIT-LICENSE.txt","zoonavigator-web"
"after@0.8.2","MIT","https://github.com/Raynos/after","https://github.com/Raynos/after/raw/master/LICENCE","zoonavigator-web"
"agent-base@2.0.1","MIT","https://github.com/TooTallNate/node-agent-base","https://github.com/TooTallNate/node-agent-base","zoonavigator-web"
"ajv-keywords@1.5.1","MIT","https://github.com/epoberezkin/ajv-keywords","https://github.com/epoberezkin/ajv-keywords/raw/master/LICENSE","zoonavigator-web"
"ajv@4.11.5","MIT","https://github.com/epoberezkin/ajv","https://github.com/epoberezkin/ajv/raw/master/LICENSE","zoonavigator-web"
"align-text@0.1.4","MIT","https://github.com/jonschlinkert/align-text","https://github.com/jonschlinkert/align-text/raw/master/LICENSE","zoonavigator-web"
"alphanum-sort@1.0.2","MIT","https://github.com/TrySound/alphanum-sort","https://github.com/TrySound/alphanum-sort/raw/master/LICENSE","zoonavigator-web"
"amdefine@1.0.1","BSD-3-Clause OR MIT","https://github.com/jrburke/amdefine","https://github.com/jrburke/amdefine/raw/master/LICENSE","zoonavigator-web"
"angular-2-local-storage@1.0.1","MIT","https://github.com/phenomnomnominal/angular-2-local-storage","https://github.com/phenomnomnominal/angular-2-local-storage","zoonavigator-web"
"angular2-fontawesome@0.8.0","MIT","https://github.com/travelist/angular2-fontawesome","https://github.com/travelist/angular2-fontawesome/raw/master/LICENSE","zoonavigator-web"
"ansi-align@1.1.0","ISC","https://github.com/nexdrew/ansi-align","https://github.com/nexdrew/ansi-align/raw/master/LICENSE","zoonavigator-web"
"ansi-escapes@1.4.0","MIT","https://github.com/sindresorhus/ansi-escapes","https://github.com/sindresorhus/ansi-escapes/raw/master/license","zoonavigator-web"
"ansi-html@0.0.7","Apache-2.0","https://github.com/Tjatse/ansi-html","https://github.com/Tjatse/ansi-html/raw/master/LICENSE","zoonavigator-web"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex","https://github.com/chalk/ansi-regex/raw/master/license","zoonavigator-web"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles","https://github.com/chalk/ansi-styles/raw/master/license","zoonavigator-web"
"any-promise@1.3.0","MIT","https://github.com/kevinbeaty/any-promise","https://github.com/kevinbeaty/any-promise/raw/master/LICENSE","zoonavigator-web"
"anymatch@1.3.0","ISC","https://github.com/es128/anymatch","https://github.com/es128/anymatch/raw/master/LICENSE","zoonavigator-web"
"app-root-path@2.0.1","MIT","https://github.com/inxilpro/node-app-root-path","https://github.com/inxilpro/node-app-root-path/raw/master/LICENSE","zoonavigator-web"
"append-transform@0.4.0","MIT","https://github.com/jamestalmage/append-transform","https://github.com/jamestalmage/append-transform/raw/master/license","zoonavigator-web"
"aproba@1.1.1","ISC","https://github.com/iarna/aproba","https://github.com/iarna/aproba/raw/master/LICENSE","zoonavigator-web"
"are-we-there-yet@1.1.2","ISC","https://github.com/iarna/are-we-there-yet","https://github.com/iarna/are-we-there-yet/raw/master/LICENSE","zoonavigator-web"
"argparse@1.0.9","MIT","https://github.com/nodeca/argparse","https://github.com/nodeca/argparse/raw/master/LICENSE","zoonavigator-web"
"arr-diff@2.0.0","MIT","https://github.com/jonschlinkert/arr-diff","https://github.com/jonschlinkert/arr-diff/raw/master/LICENSE","zoonavigator-web"
"arr-flatten@1.0.1","MIT","https://github.com/jonschlinkert/arr-flatten","https://github.com/jonschlinkert/arr-flatten/blob/master/LICENSE","zoonavigator-web"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index","https://github.com/sindresorhus/array-find-index/raw/master/license","zoonavigator-web"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten","https://github.com/blakeembrey/array-flatten/raw/master/LICENSE","zoonavigator-web"
"array-slice@0.2.3","MIT","https://github.com/jonschlinkert/array-slice","https://github.com/jonschlinkert/array-slice/blob/master/LICENSE","zoonavigator-web"
"array-union@1.0.2","MIT","https://github.com/sindresorhus/array-union","https://github.com/sindresorhus/array-union/raw/master/license","zoonavigator-web"
"array-uniq@1.0.3","MIT","https://github.com/sindresorhus/array-uniq","https://github.com/sindresorhus/array-uniq/raw/master/license","zoonavigator-web"
"array-unique@0.2.1","MIT","https://github.com/jonschlinkert/array-unique","https://github.com/jonschlinkert/array-unique/blob/master/LICENSE","zoonavigator-web"
